language,languageLabel,pop
http://www.wikidata.org/entity/Q727694,Standard Chinese,897071810
http://www.wikidata.org/entity/Q1860,English,753359540
http://www.wikidata.org/entity/Q1321,Spanish,437000000
http://www.wikidata.org/entity/Q1860,English,379007140
http://www.wikidata.org/entity/Q1568,Hindi,322230097
http://www.wikidata.org/entity/Q13955,Arabic,315421300
http://www.wikidata.org/entity/Q1568,Hindi,274266900
http://www.wikidata.org/entity/Q1568,Hindi,260123420
http://www.wikidata.org/entity/Q9610,Bengali,242659750
http://www.wikidata.org/entity/Q9237,Malay,225000000
http://www.wikidata.org/entity/Q150,French,208157220
http://www.wikidata.org/entity/Q5146,Portuguese,202225450
http://www.wikidata.org/entity/Q727694,Standard Chinese,193880000
http://www.wikidata.org/entity/Q9610,Bengali,189261200
http://www.wikidata.org/entity/Q7737,Russian,171428900
http://www.wikidata.org/entity/Q7737,Russian,153919510
http://www.wikidata.org/entity/Q1568,Hindi,120490000
http://www.wikidata.org/entity/Q58635,Punjabi,120000000
http://www.wikidata.org/entity/Q7737,Russian,110440620
http://www.wikidata.org/entity/Q7737,Russian,110000000
http://www.wikidata.org/entity/Q9610,Bengali,106000000
http://www.wikidata.org/entity/Q188,German,105000000
http://www.wikidata.org/entity/Q1617,Urdu,94022900
http://www.wikidata.org/entity/Q33549,Javanese,84308740
http://www.wikidata.org/entity/Q188,German,80000000
http://www.wikidata.org/entity/Q256,Turkish,78527240
http://www.wikidata.org/entity/Q1571,Marathi,77000000
http://www.wikidata.org/entity/Q9237,Malay,77000000
http://www.wikidata.org/entity/Q150,French,76795640
http://www.wikidata.org/entity/Q9176,Korean,73233270
http://www.wikidata.org/entity/Q1571,Marathi,72900000
http://www.wikidata.org/entity/Q9186,Cantonese,72893210
http://www.wikidata.org/entity/Q1571,Marathi,71775760
http://www.wikidata.org/entity/Q256,Turkish,71435850
http://www.wikidata.org/entity/Q1617,Urdu,68619830
http://www.wikidata.org/entity/Q9199,Vietnamese,68058620
http://www.wikidata.org/entity/Q5885,Tamil,67832790
http://www.wikidata.org/entity/Q652,Italian,64819790
http://www.wikidata.org/entity/Q9168,Persian,52939220
http://www.wikidata.org/entity/Q58680,Pashto,50000000
http://www.wikidata.org/entity/Q36495,Southern Min,48339200
http://www.wikidata.org/entity/Q5137,Gujarati,46857670
http://www.wikidata.org/entity/Q34057,Tagalog,45000000
http://www.wikidata.org/entity/Q33673,Kannada,44000000
http://www.wikidata.org/entity/Q33673,Kannada,43506272
http://www.wikidata.org/entity/Q9217,Thai,40000000
http://www.wikidata.org/entity/Q34311,Yoruba,40000000
http://www.wikidata.org/entity/Q58680,Pashto,38600000
http://www.wikidata.org/entity/Q29579,Awadhi,38000000
http://www.wikidata.org/entity/Q33268,Bhojpuri,38000000
http://www.wikidata.org/entity/Q13196,Rajasthani,36000000
http://www.wikidata.org/entity/Q8798,Ukrainian,34710100
http://www.wikidata.org/entity/Q36109,Maithili,33890000
http://www.wikidata.org/entity/Q33810,Odia,32137870
http://www.wikidata.org/entity/Q9292,Azerbaijani,32000000
http://www.wikidata.org/entity/Q33475,Gan,31000000
http://www.wikidata.org/entity/Q36368,Kurdish languages,31000000
http://www.wikidata.org/entity/Q36236,Malayalam,30000000
http://www.wikidata.org/entity/Q946077,Pahari languages,29000000
http://www.wikidata.org/entity/Q34057,Tagalog,28000000
http://www.wikidata.org/entity/Q9264,Uzbek,27000000
http://www.wikidata.org/entity/Q34002,Sundanese,27000000
http://www.wikidata.org/entity/Q13275,Somali,25000000
http://www.wikidata.org/entity/Q28244,Amharic,25000000
http://www.wikidata.org/entity/Q33864,Oromo,25000000
http://www.wikidata.org/entity/Q33997,Sindhi,25000000
http://www.wikidata.org/entity/Q33823,Nepali,24131000
http://www.wikidata.org/entity/Q7411,Dutch,24000000
http://www.wikidata.org/entity/Q7913,Romanian,24000000
http://www.wikidata.org/entity/Q9301,Serbo-Croatian,24000000
http://www.wikidata.org/entity/Q33454,Fula,24000000
http://www.wikidata.org/entity/Q34057,Tagalog,24000000
http://www.wikidata.org/entity/Q56475,Hausa,24000000
http://www.wikidata.org/entity/Q33997,Sindhi,23845500
http://www.wikidata.org/entity/Q33454,Fula,22331400
http://www.wikidata.org/entity/Q33997,Sindhi,21000000
http://www.wikidata.org/entity/Q9217,Thai,20490000
http://www.wikidata.org/entity/Q33902,Saraiki language,20009000
http://www.wikidata.org/entity/Q33239,Cebuano,20000000
http://www.wikidata.org/entity/Q34311,Yoruba,20000000
http://www.wikidata.org/entity/Q13196,Rajasthani,19972883
http://www.wikidata.org/entity/Q9610,Bengali,19202880
http://www.wikidata.org/entity/Q9610,Bengali,19200000
http://www.wikidata.org/entity/Q7930,Malagasy,18138380
http://www.wikidata.org/entity/Q7930,Malagasy,18000000
http://www.wikidata.org/entity/Q33578,Igbo,18000000
http://www.wikidata.org/entity/Q7930,Malagasy,17604640
http://www.wikidata.org/entity/Q29401,Assamese,17000000
http://www.wikidata.org/entity/Q33158,Chhattisgarhi,17000000
http://www.wikidata.org/entity/Q33823,Nepali,17000000
http://www.wikidata.org/entity/Q9205,Khmer,16388040
http://www.wikidata.org/entity/Q13267,Sinhala,16000000
http://www.wikidata.org/entity/Q10179,Zulu,15700000
http://www.wikidata.org/entity/Q33823,Nepali,15451000
http://www.wikidata.org/entity/Q7838,Swahili,15437390
http://www.wikidata.org/entity/Q3449805,South Azerbaijani,15000000
http://www.wikidata.org/entity/Q33417,Isan language,15000000
http://www.wikidata.org/entity/Q36510,Modern Greek,15000000
http://www.wikidata.org/entity/Q9205,Khmer,14224500
http://www.wikidata.org/entity/Q13216,Zhuang,14000000
http://www.wikidata.org/entity/Q29540,Bavarian,14000000
http://www.wikidata.org/entity/Q36213,Madurese,14000000
http://www.wikidata.org/entity/Q36109,Maithili,13583464
http://www.wikidata.org/entity/Q9129,Greek,13156880
http://www.wikidata.org/entity/Q33173,Chittagonian,13000000
http://www.wikidata.org/entity/Q33728,Magahi,13000000
http://www.wikidata.org/entity/Q34327,Tsonga,13000000
http://www.wikidata.org/entity/Q9252,Kazakh,12753100
http://www.wikidata.org/entity/Q13196,Rajasthani,12370010
http://www.wikidata.org/entity/Q33273,Chewa,12000000
http://www.wikidata.org/entity/Q33491,Haitian Creole,12000000
http://www.wikidata.org/entity/Q10179,Zulu,11969100
http://www.wikidata.org/entity/Q33823,Nepali,11826953
http://www.wikidata.org/entity/Q669431,Dakhini,11000000
http://www.wikidata.org/entity/Q2044560,Sylheti,11000000
http://www.wikidata.org/entity/Q13218,Xhosa,11000000
http://www.wikidata.org/entity/Q14196,Afrikaans,10300000
http://www.wikidata.org/entity/Q36457,Min Bei,10300000
http://www.wikidata.org/entity/Q131339,Alemannic,10000000
http://www.wikidata.org/entity/Q33413,Malvi,10000000
http://www.wikidata.org/entity/Q33573,Kinyarwanda,9800000
http://www.wikidata.org/entity/Q33273,Chewa,9300000
http://www.wikidata.org/entity/Q9027,Swedish,9244250
http://www.wikidata.org/entity/Q36455,Min Dong,9100000
http://www.wikidata.org/entity/Q34004,Shona,9023000
http://www.wikidata.org/entity/Q7918,Bulgarian,9000000
http://www.wikidata.org/entity/Q9288,Hebrew,9000000
http://www.wikidata.org/entity/Q33583,Kirundi,8800000
http://www.wikidata.org/entity/Q33823,Nepali,8680000
http://www.wikidata.org/entity/Q28026,Akan,8314600
http://www.wikidata.org/entity/Q13218,Xhosa,8177300
http://www.wikidata.org/entity/Q2356364,Bagheli,8000000
http://www.wikidata.org/entity/Q5885,Tamil,8000000
http://www.wikidata.org/entity/Q34152,Shilha,8000000
http://www.wikidata.org/entity/Q9091,Belarusian,7960000
http://www.wikidata.org/entity/Q13218,Xhosa,7900000
http://www.wikidata.org/entity/Q65455884,Marwari (India),7856410
http://www.wikidata.org/entity/Q65455884,Marwari (India),7855400
http://www.wikidata.org/entity/Q65455884,Marwari (India),7830000
http://www.wikidata.org/entity/Q5218,Quechua,7767820
http://www.wikidata.org/entity/Q34239,Konkani,7600000
http://www.wikidata.org/entity/Q34124,Tigrinya,7507780
http://www.wikidata.org/entity/Q33845,Neapolitan,7500000
http://www.wikidata.org/entity/Q33882,Makhuwa,7430000
http://www.wikidata.org/entity/Q14196,Afrikaans,7200000
http://www.wikidata.org/entity/Q9246,Mongolian,7000000
http://www.wikidata.org/entity/Q35936,Ilocano,7000000
http://www.wikidata.org/entity/Q33552,Kashmiri,6900000
http://www.wikidata.org/entity/Q33587,Gikuyu,6623000
http://www.wikidata.org/entity/Q5146,Portuguese,6300000
http://www.wikidata.org/entity/Q34173,Luba-Kasai language,6300000
http://www.wikidata.org/entity/Q56608,Hijazi Arabic,6031700
http://www.wikidata.org/entity/Q565110,Northern Thai,6029500
http://www.wikidata.org/entity/Q565110,Northern Thai,6000000
http://www.wikidata.org/entity/Q9035,Danish,6000000
http://www.wikidata.org/entity/Q33474,Lambadi,6000000
http://www.wikidata.org/entity/Q34340,Sesotho,6000000
http://www.wikidata.org/entity/Q36983,Umbundu,6000000
http://www.wikidata.org/entity/Q34124,Tigrinya,5800000
http://www.wikidata.org/entity/Q35978,Hiligaynon,5700000
http://www.wikidata.org/entity/Q9035,Danish,5621380
http://www.wikidata.org/entity/Q35853,Kabyle,5586000
http://www.wikidata.org/entity/Q13324,Minangkabau,5530000
http://www.wikidata.org/entity/Q9035,Danish,5520860
http://www.wikidata.org/entity/Q2638144,Sukuma,5430000
http://www.wikidata.org/entity/Q25285,Tatar,5427318
http://www.wikidata.org/entity/Q1412,Finnish,5413380
http://www.wikidata.org/entity/Q9288,Hebrew,5353950
http://www.wikidata.org/entity/Q9211,Lao,5225552
http://www.wikidata.org/entity/Q9043,Norwegian,5200000
http://www.wikidata.org/entity/Q9246,Mongolian,5200000
http://www.wikidata.org/entity/Q7026,Catalan,5100000
http://www.wikidata.org/entity/Q36096,Mossi,5036700
http://www.wikidata.org/entity/Q33190,Buginese,5017800
http://www.wikidata.org/entity/Q33702,Kongo,5016500
http://www.wikidata.org/entity/Q25433,Low German,5000000
http://www.wikidata.org/entity/Q35876,Guarani,4850000
http://www.wikidata.org/entity/Q13201,Romani,4800000
http://www.wikidata.org/entity/Q33049,Baluchi,4800000
http://www.wikidata.org/entity/Q33973,Sicilian,4700000
http://www.wikidata.org/entity/Q33954,Sango,4600000
http://www.wikidata.org/entity/Q9255,Kyrgyz,4568480
http://www.wikidata.org/entity/Q34137,Tswana,4500000
http://www.wikidata.org/entity/Q56508,Southern Thai,4500000
http://www.wikidata.org/entity/Q3510366,Hadhrami Arabic,4473000
http://www.wikidata.org/entity/Q242648,Emilian-Romagnol,4400000
http://www.wikidata.org/entity/Q33368,Luganda,4100000
http://www.wikidata.org/entity/Q33890,Northern Sotho,4100000
http://www.wikidata.org/entity/Q7026,Catalan,4079420
http://www.wikidata.org/entity/Q34327,Tsonga,4009000
http://www.wikidata.org/entity/Q4627,Aymara,4000000
http://www.wikidata.org/entity/Q9083,Lithuanian,4000000
http://www.wikidata.org/entity/Q14185,Occitan,4000000
http://www.wikidata.org/entity/Q33070,Balinese,4000000
http://www.wikidata.org/entity/Q33813,Hmong language,4000000
http://www.wikidata.org/entity/Q34159,Tok Pisin,4000000
http://www.wikidata.org/entity/Q9288,Hebrew,3950000
http://www.wikidata.org/entity/Q33754,Lombard,3900000
http://www.wikidata.org/entity/Q2574767,Kamba,3893000
http://www.wikidata.org/entity/Q8108,Georgian,3700000
http://www.wikidata.org/entity/Q34257,Wolof,3700000
http://www.wikidata.org/entity/Q33052,Bemba,3600000
http://www.wikidata.org/entity/Q27683,Acehnese,3500032
http://www.wikidata.org/entity/Q33151,Banjar,3500000
http://www.wikidata.org/entity/Q34327,Tsonga,3400000
http://www.wikidata.org/entity/Q33229,Bhili,3310000
http://www.wikidata.org/entity/Q4701277,Luri,3300000
http://www.wikidata.org/entity/Q33070,Balinese,3300000
http://www.wikidata.org/entity/Q13356,Mazanderani,3270000
http://www.wikidata.org/entity/Q35939,Jamaican Patois,3200000
http://www.wikidata.org/entity/Q9027,Swedish,3118000
http://www.wikidata.org/entity/Q34279,Waray,3100000
http://www.wikidata.org/entity/Q36109,Maithili,3092530
http://www.wikidata.org/entity/Q12952252,Eastern Balochi,3050000
http://www.wikidata.org/entity/Q652,Italian,3026000
http://www.wikidata.org/entity/Q3436689,Brazilian Sign Language,3000000
http://www.wikidata.org/entity/Q5414796,Luo dialect,3000000
http://www.wikidata.org/entity/Q10867404,Sabah Malay,3000000
http://www.wikidata.org/entity/Q1571,Marathi,3000000
http://www.wikidata.org/entity/Q30005,Ewe,3000000
http://www.wikidata.org/entity/Q33459,Garhwali,3000000
http://www.wikidata.org/entity/Q33657,Gilaki,3000000
http://www.wikidata.org/entity/Q36850,Twi,3000000
http://www.wikidata.org/entity/Q49741,Central Atlas Tamazight,3000000
http://www.wikidata.org/entity/Q56482,Shan,3000000
http://www.wikidata.org/entity/Q1775361,Gondi,2984453
http://www.wikidata.org/entity/Q33823,Nepali,2926168
http://www.wikidata.org/entity/Q32706,Dioula language,2700000
http://www.wikidata.org/entity/Q33243,Bambara,2700000
http://www.wikidata.org/entity/Q34138,Tumbuka,2680000
http://www.wikidata.org/entity/Q9307,Galician,2500000
http://www.wikidata.org/entity/Q33284,Central Bikol,2500000
http://www.wikidata.org/entity/Q56583,Pu-Xian Min,2500000
http://www.wikidata.org/entity/Q9063,Slovene,2400000
http://www.wikidata.org/entity/Q13207,Runyankole language,2300000
http://www.wikidata.org/entity/Q33529,Kumaoni,2300000
http://www.wikidata.org/entity/Q35107,Baoulé,2100000
http://www.wikidata.org/entity/Q34014,Swazi,2034200
http://www.wikidata.org/entity/Q1294047,Sasak,2000000
http://www.wikidata.org/entity/Q9296,Macedonian,2000000
http://www.wikidata.org/entity/Q15085,Piedmontese,2000000
http://www.wikidata.org/entity/Q32724,Venetian,2000000
http://www.wikidata.org/entity/Q32730,Dogri,2000000
http://www.wikidata.org/entity/Q33492,Kurukh,2000000
http://www.wikidata.org/entity/Q34235,Nuosu,2000000
http://www.wikidata.org/entity/Q34251,Tulu,2000000
http://www.wikidata.org/entity/Q35100,Bouyei,2000000
http://www.wikidata.org/entity/Q35541,Cameroonian Pidgin English,2000000
http://www.wikidata.org/entity/Q36106,Ligurian,2000000
http://www.wikidata.org/entity/Q36217,Lingala,2000000
http://www.wikidata.org/entity/Q36486,Shilluk,2000000
http://www.wikidata.org/entity/Q36494,K’iche’,2000000
http://www.wikidata.org/entity/Q56323,Gamo-Gofa-Dawro language,2000000
http://www.wikidata.org/entity/Q8054983,Yongbei Zhuang,1980000
http://www.wikidata.org/entity/Q33291,Fon,1935500
http://www.wikidata.org/entity/Q3241177,Rohingya language,1800000
http://www.wikidata.org/entity/Q33202,Brahui,1800000
http://www.wikidata.org/entity/Q33786,Sidamo,1800000
http://www.wikidata.org/entity/Q13300,Nahuatl,1740000
http://www.wikidata.org/entity/Q35172,Makonde,1700000
http://www.wikidata.org/entity/Q10199,Zazaki,1640000
http://www.wikidata.org/entity/Q102172,Limburgish,1600000
http://www.wikidata.org/entity/Q27811,Afar,1600000
http://www.wikidata.org/entity/Q33522,Kabardian,1600000
http://www.wikidata.org/entity/Q33643,Makassarese language,1600000
http://www.wikidata.org/entity/Q3270727,Kiga language,1580000
http://www.wikidata.org/entity/Q35613,Northern Ndebele,1572800
http://www.wikidata.org/entity/Q2511476,Tày,1500000
http://www.wikidata.org/entity/Q3244184,Leeward Caribbean Creole English,1500000
http://www.wikidata.org/entity/Q3502294,Nimadi,1500000
http://www.wikidata.org/entity/Q9078,Latvian,1500000
http://www.wikidata.org/entity/Q14549,Scots,1500000
http://www.wikidata.org/entity/Q33726,Khandeshi language,1500000
http://www.wikidata.org/entity/Q35379,Kam language,1500000
http://www.wikidata.org/entity/Q56601,Khams Tibetan,1500000
http://www.wikidata.org/entity/Q2707343,Sebat Bet Gurage,1480000
http://www.wikidata.org/entity/Q33350,Chechen,1393900
http://www.wikidata.org/entity/Q56466,Dinka,1365900
http://www.wikidata.org/entity/Q33678,Mandinka,1350000
http://www.wikidata.org/entity/Q35394,Domari,1340000
http://www.wikidata.org/entity/Q33976,Sardinian,1300000
http://www.wikidata.org/entity/Q34101,tonga,1270000
http://www.wikidata.org/entity/Q9072,Estonian,1251770
http://www.wikidata.org/entity/Q8641,Yiddish,1200000
http://www.wikidata.org/entity/Q13389,Bashkir,1200000
http://www.wikidata.org/entity/Q34271,Tibetan,1200000
http://www.wikidata.org/entity/Q34926,Acholi dialect,1200000
http://www.wikidata.org/entity/Q36284,Serer,1200000
http://www.wikidata.org/entity/Q33025,Beja,1178000
http://www.wikidata.org/entity/Q35035,Aja language,1133000
http://www.wikidata.org/entity/Q2891049,Mandailing language,1100000
http://www.wikidata.org/entity/Q33879,Pangasinan,1100000
http://www.wikidata.org/entity/Q35159,Dagaare language,1100000
http://www.wikidata.org/entity/Q36660,Soninke,1096795
http://www.wikidata.org/entity/Q32704,Venda,1064000
http://www.wikidata.org/entity/Q9142,Irish,1030000
http://www.wikidata.org/entity/Q938216,Khowar,1000000
http://www.wikidata.org/entity/Q1199751,Pattani Malay,1000000
http://www.wikidata.org/entity/Q2501174,Gorontalo,1000000
http://www.wikidata.org/entity/Q9205,Khmer,1000000
http://www.wikidata.org/entity/Q23014,Palatinate German,1000000
http://www.wikidata.org/entity/Q33348,Chuvash,1000000
http://www.wikidata.org/entity/Q33368,Luganda,1000000
http://www.wikidata.org/entity/Q33979,Newar,1000000
http://www.wikidata.org/entity/Q34318,Talysh,1000000
http://www.wikidata.org/entity/Q35475,Kabiye,1000000
http://www.wikidata.org/entity/Q36137,Garo,1000000
http://www.wikidata.org/entity/Q3105505,Ha,990000
http://www.wikidata.org/entity/Q34233,Okinawan,984000
http://www.wikidata.org/entity/Q4121131,Nyamwezi,980000
http://www.wikidata.org/entity/Q33332,Jingpho language,940000
http://www.wikidata.org/entity/Q3915909,Negeri Sembilan Malay,939000
http://www.wikidata.org/entity/Q13192,Qashqai,923000
http://www.wikidata.org/entity/Q3285748,Manggarai,900000
http://www.wikidata.org/entity/Q6747931,Mandeali,900000
http://www.wikidata.org/entity/Q33675,Nuer,900000
http://www.wikidata.org/entity/Q33979,Newar,893600
http://www.wikidata.org/entity/Q35373,Khorasani Turkic,886000
http://www.wikidata.org/entity/Q56487,Kutchi language,866000
http://www.wikidata.org/entity/Q33584,Khasi,865000
http://www.wikidata.org/entity/Q72695,Nung,850000
http://www.wikidata.org/entity/Q1068112,Manado Malay,850000
http://www.wikidata.org/entity/Q13349,Mon,850000
http://www.wikidata.org/entity/Q33584,Khasi,843000
http://www.wikidata.org/entity/Q2498808,Iu Mien,820000
http://www.wikidata.org/entity/Q33900,Ndonga,810000
http://www.wikidata.org/entity/Q56509,Amdo Tibetan,810000
http://www.wikidata.org/entity/Q1262143,Juba Arabic,800000
http://www.wikidata.org/entity/Q34129,Tigre,800000
http://www.wikidata.org/entity/Q35035,Aja language,781000
http://www.wikidata.org/entity/Q13214,Zapotec,777000
http://www.wikidata.org/entity/Q29561,Avaric,766500
http://www.wikidata.org/entity/Q56407,Tai Dam,760000
http://www.wikidata.org/entity/Q33364,Fur,746000
http://www.wikidata.org/entity/Q33287,Ga,745000
http://www.wikidata.org/entity/Q9309,Welsh,724000
http://www.wikidata.org/entity/Q2520717,Ronga,722000
http://www.wikidata.org/entity/Q29561,Avaric,715000
http://www.wikidata.org/entity/Q13354,Yucatec Maya,706000
http://www.wikidata.org/entity/Q934738,Hlai,700000
http://www.wikidata.org/entity/Q3305477,Guyanese Creole,700000
http://www.wikidata.org/entity/Q33424,Iban,700000
http://www.wikidata.org/entity/Q34024,Picard,700000
http://www.wikidata.org/entity/Q35602,Hawaiian Pidgin,700000
http://www.wikidata.org/entity/Q35947,Kokborok,700000
http://www.wikidata.org/entity/Q36948,Tai Lü,700000
http://www.wikidata.org/entity/Q3437661,Luguru,692000
http://www.wikidata.org/entity/Q35744,Krio,692000
http://www.wikidata.org/entity/Q626210,Mambwe-Lungu,674000
http://www.wikidata.org/entity/Q3788739,Shambala,664000
http://www.wikidata.org/entity/Q3915207,Tai Daeng,650000
http://www.wikidata.org/entity/Q36556,Tai Nüa,650000
http://www.wikidata.org/entity/Q33919,Kui,645000
http://www.wikidata.org/entity/Q36785,Southern Ndebele,640000
http://www.wikidata.org/entity/Q56622,Gedeo,640000
http://www.wikidata.org/entity/Q26245,Rusyn,610000
http://www.wikidata.org/entity/Q2361829,Konjo language,609000
http://www.wikidata.org/entity/Q7915983,Varli,600000
http://www.wikidata.org/entity/Q28038881,East Indian language,600000
http://www.wikidata.org/entity/Q13198,Réunion Creole,600000
http://www.wikidata.org/entity/Q33012,Batak Karo,600000
http://www.wikidata.org/entity/Q33661,Mauritian Creole,600000
http://www.wikidata.org/entity/Q34219,Walloon,600000
http://www.wikidata.org/entity/Q56643,Akha,600000
http://www.wikidata.org/entity/Q33968,Ossetian,599250
http://www.wikidata.org/entity/Q33954,Sango,599000
http://www.wikidata.org/entity/Q33541,Karakalpak,583410
http://www.wikidata.org/entity/Q35459,Ewondo,578000
http://www.wikidata.org/entity/Q27776,Adyghe,575900
http://www.wikidata.org/entity/Q33457,Gagauz,566720
http://www.wikidata.org/entity/Q56643,Akha,560000
http://www.wikidata.org/entity/Q56959,Oirat,560000
http://www.wikidata.org/entity/Q8752,Basque,537860
http://www.wikidata.org/entity/Q1472421,Tsotsitaal,500000
http://www.wikidata.org/entity/Q33190,Buginese,500000
http://www.wikidata.org/entity/Q33339,Guinea-Bissau Creole,500000
http://www.wikidata.org/entity/Q33954,Sango,500000
http://www.wikidata.org/entity/Q34024,Picard,500000
http://www.wikidata.org/entity/Q35115,Kaqchikel,500000
http://www.wikidata.org/entity/Q36403,Pare,500000
http://www.wikidata.org/entity/Q36673,Toraja-Sa’dan language,500000
http://www.wikidata.org/entity/Q34934,Awngi,490000
http://www.wikidata.org/entity/Q56310,Kuy,488900
http://www.wikidata.org/entity/Q9166,Maltese,482880
http://www.wikidata.org/entity/Q3906614,Meadow Mari,482000
http://www.wikidata.org/entity/Q33335,Khmu,480000
http://www.wikidata.org/entity/Q3906614,Meadow Mari,470000
http://www.wikidata.org/entity/Q8752,Basque,464000
http://www.wikidata.org/entity/Q34125,Tetum,463500
http://www.wikidata.org/entity/Q33595,Iraqw,460000
http://www.wikidata.org/entity/Q29507,Asturian,450000
http://www.wikidata.org/entity/Q34299,Sakha,450000
http://www.wikidata.org/entity/Q35780,Lahu,450000
http://www.wikidata.org/entity/Q28602,Aramaic,445000
http://www.wikidata.org/entity/Q35807,Lobi,440000
http://www.wikidata.org/entity/Q33281,Chavacano,431000
http://www.wikidata.org/entity/Q36209,Kumyk,426212
http://www.wikidata.org/entity/Q35106,Bru language,425000
http://www.wikidata.org/entity/Q35536,Q’eqchi’,420000
http://www.wikidata.org/entity/Q56477,Limbu,420000
http://www.wikidata.org/entity/Q34011,Samoan,415720
http://www.wikidata.org/entity/Q33989,Sranan tongo,415700
http://www.wikidata.org/entity/Q34011,Samoan,413257
http://www.wikidata.org/entity/Q13284,Sora,410000
http://www.wikidata.org/entity/Q9166,Maltese,403000
http://www.wikidata.org/entity/Q241146,Cham language,400000
http://www.wikidata.org/entity/Q34125,Tetum,400000
http://www.wikidata.org/entity/Q35999,Ngas,400000
http://www.wikidata.org/entity/Q35614,Kiduruma,397000
http://www.wikidata.org/entity/Q9051,Luxembourgish,391200
